"month","month_share_buy","month_share_sale"
1,0.0111563570672315,0.188095457564663
2,0.00102618790908165,0.243890536556651
3,0.000200906659808482,0.244740732616785
4,0.000196985660459814,0.0241549095344685
5,0,0.0400225850449162
6,0.0212692827396094,0.00126235495194455
7,0.190250408385449,6.75359899290332e-05
8,0.357983052193224,0
9,0.297815421152758,0.00190615597743626
10,0.0576375170957799,0.00514763102303947
11,0.0383005444222938,0.0800246694454129
12,0.0241633367143041,0.170687431294754
