"DIST","prod","year","SUM","share","share.lag","long_run_share","dev_share","prod_percent"
"Kabompo",99959.25,2006,22373513.4,0.00446774935223182,0.00365365684854878,0.00575296310921264,-0.00128521375698082,0.0266070862165081
"Kabompo",129779.5,2007,20177911.31,0.0064317608500778,0.00446774935223182,0.00575296310921264,0.00067879774086516,1.10881215881407
"Kabompo",146142.25,2008,25990042.432,0.00562300928835975,0.0064317608500778,0.00575296310921264,-0.000129953820852889,0.776370849058566
"Kabompo",274091,2009,35642024.5,0.00769010750217065,0.00562300928835975,0.00575296310921264,0.00193714439295801,0.729196581748604
"Kabompo",310320,2011,34981060.5,0.00887108611244076,0.00769010750217065,0.00575296310921264,0.00311812300322812,1.0188949102901
"Kabompo",304347,2013,38038220.5,0.00800108406753676,0.00887108611244076,0.00575296310921264,0.00224812095832412,0.91962925815628
"Kabompo",304347,2014,38082170.5,0.00799185014940259,0.00800108406753676,0.00575296310921264,0.00223888704018995,0.99884591662127
"Kabwe",305986,2008,25990042.432,0.0117732012481541,NA,0.00927003830466486,0.00250316294348922,NA
"Kabwe",380706,2009,35642024.5,0.0106813797852588,0.0117732012481541,0.00927003830466486,0.00141134148059397,0.729196581748604
"Kabwe",288350,2011,34981060.5,0.00824303196868488,0.0106813797852588,0.00927003830466486,-0.00102700633597998,1.0188949102901
"Kabwe",297870,2013,38038220.5,0.00783080796326947,0.00824303196868488,0.00927003830466486,-0.00143923034139539,0.91962925815628
"Kabwe",297870,2014,38082170.5,0.00782177055795704,0.00783080796326947,0.00927003830466486,-0.00144826774670782,0.99884591662127
"Kabwe urban",517832.5,2006,22373513.4,0.0231448897069514,NA,0.0293611557108831,-0.00621626600393166,NA
"Kabwe urban",717878.06,2007,20177911.31,0.0355774217148147,0.0231448897069514,0.0293611557108831,0.00621626600393166,1.10881215881407
"Kabwe Urban",292140,1999,34530480,0.00846035155028253,NA,0.0104020418666028,-0.00194169031632031,NA
"Kabwe Urban",94347,2000,7276775.56,0.0129654953931271,0.00846035155028253,0.0104020418666028,0.00256345352652428,4.7452995788151
"Kabwe Urban",3889.5,2001,262971.25,0.0147905902261179,0.0129654953931271,0.0104020418666028,0.00438854835951503,27.6713730493352
"Kabwe Urban",852.5,2002,116213.67,0.00733562583472323,0.0147905902261179,0.0104020418666028,-0.00306641603187961,2.2628254490199
"Kabwe Urban",46397,2003,2606196.87,0.0178025691512706,0.00733562583472323,0.0104020418666028,0.00740052728466776,0.0445912859990504
"Kabwe Urban",6939.035,2004,6560996.645,0.0010576190440957,0.0178025691512706,0.0104020418666028,-0.00934442282250714,0.397225758678924
"Kafue",434880,1999,34530480,0.0125940907858796,NA,0.0155083366214094,-0.00291424583552982,NA
"Kafue",170076,2000,7276775.56,0.0233724399766976,0.0125940907858796,0.0155083366214094,0.00786410335528817,4.7452995788151
"Kafue",2142,2001,262971.25,0.00814537710871436,0.0233724399766976,0.0155083366214094,-0.00736295951269507,27.6713730493352
"Kafue",1774,2002,116213.67,0.0152649856079754,0.00814537710871436,0.0155083366214094,-0.000243351013434048,2.2628254490199
"Kafue",4614,2003,2606196.87,0.00177039580283127,0.0152649856079754,0.0155083366214094,-0.0137379408185782,0.0445912859990504
"Kafue",116503.46,2004,6560996.645,0.0177569760058916,0.00177039580283127,0.0155083366214094,0.00224863938448213,0.397225758678924
"Kafue",3350,2005,595294,0.00562747146787974,0.0177569760058916,0.0155083366214094,-0.00988086515352969,11.0214392300275
"Kafue",427281.5,2006,22373513.4,0.0190976487403181,0.00562747146787974,0.0155083366214094,0.00358931211890867,0.0266070862165081
"Kafue",274711.5,2007,20177911.31,0.0136144666204304,0.0190976487403181,0.0155083366214094,-0.00189387000097903,1.10881215881407
"Kafue",478018.5,2008,25990042.432,0.0183923708955336,0.0136144666204304,0.0155083366214094,0.00288403427412417,0.776370849058566
"Kafue",1029404.5,2009,35642024.5,0.02888176287517,0.0183923708955336,0.0155083366214094,0.0133734262537606,0.729196581748604
"Kafue",512450,2011,34981060.5,0.0146493557563814,0.02888176287517,0.0155083366214094,-0.000858980865028055,1.0188949102901
"Kafue",722180,2013,38038220.5,0.0189856410343907,0.0146493557563814,0.0155083366214094,0.00347730441298123,0.91962925815628
"Kafue",722180,2014,38082170.5,0.0189637300216383,0.0189856410343907,0.0155083366214094,0.00345539340022892,0.99884591662127
"Kalabo",145980,1999,34530480,0.00422756938218061,NA,0.00246483537201072,0.00176273401016989,NA
"Kalabo",15370.25,2000,7276775.56,0.00211223362233258,0.00422756938218061,0.00246483537201072,-0.000352601749678137,4.7452995788151
"Kalabo",887,2001,262971.25,0.00337299229478508,0.00211223362233258,0.00246483537201072,0.000908156922774357,27.6713730493352
"Kalabo",412,2002,116213.67,0.00354519395179586,0.00337299229478508,0.00246483537201072,0.00108035857978514,2.2628254490199
"Kalabo",615,2003,2606196.87,0.000235976033537328,0.00354519395179586,0.00246483537201072,-0.00222885933847339,0.0445912859990504
"Kalabo",19507.44,2004,6560996.645,0.00297324340424198,0.000235976033537328,0.00246483537201072,0.000508408032231259,0.397225758678924
"Kalabo",2400,2005,595294,0.0040316213501228,0.00297324340424198,0.00246483537201072,0.00156678597811208,11.0214392300275
"Kalabo",103253.5,2006,22373513.4,0.00461498818509211,0.0040316213501228,0.00246483537201072,0.00215015281308139,0.0266070862165081
"Kalabo",42846.25,2007,20177911.31,0.00212342344763731,0.00461498818509211,0.00246483537201072,-0.000341411924373412,1.10881215881407
"Kalabo",57879,2008,25990042.432,0.00222696827646334,0.00212342344763731,0.00246483537201072,-0.000237867095547383,0.776370849058566
"Kalabo",87775,2009,35642024.5,0.00246268278054744,0.00222696827646334,0.00246483537201072,-2.15259146327858e-06,0.729196581748604
"Kalabo",34580,2011,34981060.5,0.000988534924491497,0.00246268278054744,0.00246483537201072,-0.00147630044751922,1.0188949102901
"Kalabo",30296,2013,38038220.5,0.000796462074244509,0.000988534924491497,0.00246483537201072,-0.00166837329776621,0.91962925815628
"Kalabo",30306,2014,38082170.5,0.000795805480677631,0.000796462074244509,0.00246483537201072,-0.00166902989133309,0.99884591662127
"Kalomo",1517850,1999,34530480,0.0439568172814279,NA,0.0414084117289315,0.00254840555249643,NA
"Kalomo",549715.2,2000,7276775.56,0.0755437893428721,0.0439568172814279,0.0414084117289315,0.0341353776139406,4.7452995788151
"Kalomo",9013.2,2001,262971.25,0.0342744691672569,0.0755437893428721,0.0414084117289315,-0.00713394256167458,27.6713730493352
"Kalomo",2791.5,2002,116213.67,0.0240204099913547,0.0342744691672569,0.0414084117289315,-0.0173880017375767,2.2628254490199
"Kalomo",6907.5,2003,2606196.87,0.00265041374253511,0.0240204099913547,0.0414084117289315,-0.0387579979863963,0.0445912859990504
"Kalomo",246898.6,2004,6560996.645,0.0376312644799409,0.00265041374253511,0.0414084117289315,-0.00377714724899054,0.397225758678924
"Kalomo",2250,2005,595294,0.00377964501574012,0.0376312644799409,0.0414084117289315,-0.0376287667131913,11.0214392300275
"Kalomo",1096856.5,2006,22373513.4,0.0490247767701965,0.00377964501574012,0.0414084117289315,0.00761636504126504,0.0266070862165081
"Kalomo",439929,2007,20177911.31,0.0218025043940983,0.0490247767701965,0.0414084117289315,-0.0196059073348332,1.10881215881407
"Kalomo",1389059,2008,25990042.432,0.0534458150129734,0.0218025043940983,0.0414084117289315,0.0120374032840419,0.776370849058566
"Kalomo",2088933,2009,35642024.5,0.0586087078190522,0.0534458150129734,0.0414084117289315,0.0172002960901207,0.729196581748604
"Kalomo",2277240,2011,34981060.5,0.0650992270517356,0.0586087078190522,0.0414084117289315,0.0236908153228042,1.0188949102901
"Kalomo",2091025,2013,38038220.5,0.0549716830207659,0.0650992270517356,0.0414084117289315,0.0135632712918345,0.91962925815628
"Kalomo",2091025,2014,38082170.5,0.0549082411150909,0.0549716830207659,0.0414084117289315,0.0134998293861594,0.99884591662127
"Kalulushi",259200,1999,34530480,0.00750641172668321,NA,0.0127538674219201,-0.00524745569523689,NA
"Kalulushi",35786,2000,7276775.56,0.00491783753737212,0.00750641172668321,0.0127538674219201,-0.00783602988454799,4.7452995788151
"Kalulushi",4669,2001,262971.25,0.0177547925866421,0.00491783753737212,0.0127538674219201,0.00500092516472197,27.6713730493352
"Kalulushi",939,2002,116213.67,0.00807994446780658,0.0177547925866421,0.0127538674219201,-0.00467392295411352,2.2628254490199
"Kalulushi",1238,2003,2606196.87,0.00047502167401498,0.00807994446780658,0.0127538674219201,-0.0122788457479051,0.0445912859990504
"Kalulushi",62700,2004,6560996.645,0.00955647493704823,0.00047502167401498,0.0127538674219201,-0.00319739248487188,0.397225758678924
"Kalulushi",24400,2005,595294,0.0409881503929151,0.00955647493704823,0.0127538674219201,0.028234282970995,11.0214392300275
"Kalulushi",376071.5,2006,22373513.4,0.0168087815836738,0.0409881503929151,0.0127538674219201,0.00405491416175374,0.0266070862165081
"Kalulushi",370256.5,2007,20177911.31,0.0183495949759926,0.0168087815836738,0.0127538674219201,0.00559572755407249,1.10881215881407
"Kalulushi",370583.5,2008,25990042.432,0.0142586723730671,0.0183495949759926,0.0127538674219201,0.00150480495114699,0.776370849058566
"Kalulushi",518650,2009,35642024.5,0.0145516425420784,0.0142586723730671,0.0127538674219201,0.00179777512015828,0.729196581748604
"Kalulushi",329940,2011,34981060.5,0.00943196104646399,0.0145516425420784,0.0127538674219201,-0.00332190637545612,1.0188949102901
"Kalulushi",302100,2013,38038220.5,0.0079420119035274,0.00943196104646399,0.0127538674219201,-0.0048118555183927,0.91962925815628
"Kalulushi",302100,2014,38082170.5,0.00793284615959587,0.0079420119035274,0.0127538674219201,-0.00482102126232424,0.99884591662127
"Kaoma",516510,1999,34530480,0.0149580892011927,NA,0.0125809545327049,0.00237713466848779,NA
"Kaoma",56445.3,2000,7276775.56,0.00775691094696894,0.0149580892011927,0.0125809545327049,-0.00482404358573596,4.7452995788151
"Kaoma",2091,2001,262971.25,0.00795143955850687,0.00775691094696894,0.0125809545327049,-0.00462951497419802,27.6713730493352
"Kaoma",1683,2002,116213.67,0.0144819451962923,0.00795143955850687,0.0125809545327049,0.00190099066358742,2.2628254490199
"Kaoma",3289,2003,2606196.87,0.00126199215334028,0.0144819451962923,0.0125809545327049,-0.0113189623793646,0.0445912859990504
"Kaoma",119795,2004,6560996.645,0.0182586589327543,0.00126199215334028,0.0125809545327049,0.00567770440004937,0.397225758678924
"Kaoma",12250,2005,595294,0.0205780673079184,0.0182586589327543,0.0125809545327049,0.00799711277521355,11.0214392300275
"Kaoma",214691,2006,22373513.4,0.00959576603645988,0.0205780673079184,0.0125809545327049,-0.00298518849624501,0.0266070862165081
"Kaoma",145939,2007,20177911.31,0.00723261182775017,0.00959576603645988,0.0125809545327049,-0.00534834270495472,1.10881215881407
"Kaoma",267917,2008,25990042.432,0.0103084479642915,0.00723261182775017,0.0125809545327049,-0.0022725065684134,0.776370849058566
"Kaoma",559672,2009,35642024.5,0.0157025872646488,0.0103084479642915,0.0125809545327049,0.00312163273194389,0.729196581748604
"Kaoma",552950,2011,34981060.5,0.0158071251156036,0.0157025872646488,0.0125809545327049,0.00322617058289874,1.0188949102901
"Kaoma",613275,2013,38038220.5,0.0161225996363316,0.0158071251156036,0.0125809545327049,0.00354164510362668,0.91962925815628
"Kaoma",613775,2014,38082170.5,0.0161171223158092,0.0161225996363316,0.0125809545327049,0.00353616778310429,0.99884591662127
"Kapiri-mposhi",1119353,2008,25990042.432,0.043068532994075,NA,0.043068532994075,0,NA
"Kapiri-Mposhi",1268089,2009,35642024.5,0.0355784784335132,NA,0.0459874577434253,-0.010408979309912,NA
"Kapiri-Mposhi",1418850,2011,34981060.5,0.0405605198847531,0.0355784784335132,0.0459874577434253,-0.0054269378586722,1.0188949102901
"Kapiri-Mposhi",2051650,2013,38038220.5,0.0539365399598543,0.0405605198847531,0.0459874577434253,0.00794908221642906,0.91962925815628
"Kapiri-Mposhi",2051650,2014,38082170.5,0.0538742926955805,0.0539365399598543,0.0459874577434253,0.0078868349521552,0.99884591662127
"Kapiri mposhi",576019,2003,2606196.87,0.221018990019737,NA,0.100939993878934,0.120078996140803,NA
"Kapiri mposhi",244076.82,2004,6560996.645,0.0372011804313306,0.221018990019737,0.100939993878934,-0.0637388134476031,0.397225758678924
"Kapiri mposhi",26550,2005,595294,0.0445998111857334,0.0372011804313306,0.100939993878934,-0.0563401826932003,11.0214392300275
"Kapiri Mposhi",760230,1999,34530480,0.0220162013386434,NA,0.044378459562672,-0.0223622582240285,NA
"Kapiri Mposhi",150197.6,2000,7276775.56,0.0206406805818812,0.0220162013386434,0.044378459562672,-0.0237377789807907,4.7452995788151
"Kapiri Mposhi",8117,2001,262971.25,0.0308664920594932,0.0206406805818812,0.044378459562672,-0.0135119675031788,27.6713730493352
"Kapiri Mposhi",6394,2002,116213.67,0.0550193449703464,0.0308664920594932,0.044378459562672,0.0106408854076745,2.2628254490199
"Kapiri Mposhi",1330052.5,2006,22373513.4,0.0594476368651157,0.0550193449703464,0.044378459562672,0.0150691773024437,0.00519425214637948
"Kapiri Mposhi",1579535,2007,20177911.31,0.0782804015605518,0.0594476368651157,0.044378459562672,0.0339019419978798,1.10881215881407
"Kaputa",90270,1999,34530480,0.00261421213953585,NA,0.00442816441318324,-0.00181395227364738,NA
"Kaputa",34610.2,2000,7276775.56,0.00475625498060572,0.00261421213953585,0.00442816441318324,0.000328090567422484,4.7452995788151
"Kaputa",698.55,2001,262971.25,0.00265637403328311,0.00475625498060572,0.00442816441318324,-0.00177179037990013,27.6713730493352
"Kaputa",653.5,2002,116213.67,0.00562326273664707,0.00265637403328311,0.00442816441318324,0.00119509832346384,2.2628254490199
"Kaputa",738.4,2003,2606196.87,0.00028332472059181,0.00562326273664707,0.00442816441318324,-0.00414483969259143,0.0445912859990504
"Kaputa",29262,2004,6560996.645,0.00445999313569227,0.00028332472059181,0.00442816441318324,3.18287225090294e-05,0.397225758678924
"Kaputa",11425,2005,595294,0.0191921974688137,0.00445999313569227,0.00442816441318324,0.0147640330556305,11.0214392300275
"Kaputa",50851.5,2006,22373513.4,0.00227284374567653,0.0191921974688137,0.00442816441318324,-0.00215532066750671,0.0266070862165081
"Kaputa",107959,2007,20177911.31,0.00535035556165303,0.00227284374567653,0.00442816441318324,0.000922191148469788,1.10881215881407
"Kaputa",72848,2008,25990042.432,0.00280291962549113,0.00535035556165303,0.00442816441318324,-0.00162524478769211,0.776370849058566
"Kaputa",80532,2009,35642024.5,0.00225946761245282,0.00280291962549113,0.00442816441318324,-0.00216869680073042,0.729196581748604
"Kaputa",83660,2011,34981060.5,0.00239157986648232,0.00225946761245282,0.00442816441318324,-0.00203658454670092,1.0188949102901
"Kaputa",138520,2013,38038220.5,0.0036416004266025,0.00239157986648232,0.00442816441318324,-0.000786563986580737,0.91962925815628
"Kaputa",140520,2014,38082170.5,0.00368991573103744,0.0036416004266025,0.00442816441318324,-0.000738248682145797,0.99884591662127
"Kasama",173970,1999,34530480,0.00503815759294397,NA,0.0131350300340778,-0.00809687244113378,NA
"Kasama",38410.6,2000,7276775.56,0.0052785192676741,0.00503815759294397,0.0131350300340778,-0.00785651076640365,4.7452995788151
"Kasama",1936.2,2001,262971.25,0.00736278205317121,0.0052785192676741,0.0131350300340778,-0.00577224798090654,27.6713730493352
"Kasama",1651.7,2002,116213.67,0.0142126137140321,0.00736278205317121,0.0131350300340778,0.00107758367995434,2.2628254490199
"Kasama",11030,2003,2606196.87,0.00423222056897029,0.0142126137140321,0.0131350300340778,-0.00890280946510746,0.0445912859990504
"Kasama",100996.2,2004,6560996.645,0.0153934235093638,0.00423222056897029,0.0131350300340778,0.00225839347528604,0.397225758678924
"Kasama",16465,2005,595294,0.0276586023040716,0.0153934235093638,0.0131350300340778,0.0145235722699939,11.0214392300275
"Kasama",252536,2006,22373513.4,0.0112872750687427,0.0276586023040716,0.0131350300340778,-0.00184775496533508,0.0266070862165081
"Kasama",384675,2007,20177911.31,0.0190641634850163,0.0112872750687427,0.0131350300340778,0.00592913345093858,1.10881215881407
"Kasama",482896,2008,25990042.432,0.0185800389231161,0.0190641634850163,0.0131350300340778,0.00544500888903839,0.776370849058566
"Kasama",489147,2009,35642024.5,0.0137238837260773,0.0185800389231161,0.0131350300340778,0.000588853691999593,0.729196581748604
"Kasama",414250,2011,34981060.5,0.0118421223964894,0.0137238837260773,0.0131350300340778,-0.00129290763758837,1.0188949102901
"Kasama",575025,2013,38038220.5,0.015117032091446,0.0118421223964894,0.0131350300340778,0.00198200205736827,0.91962925815628
"Kasama",575025,2014,38082170.5,0.0150995857759736,0.015117032091446,0.0131350300340778,0.00196455574189581,0.99884591662127
"Kasempa",181710,1999,34530480,0.00526230738756021,NA,0.0100012358043146,-0.0047389284167544,NA
"Kasempa",65029.5,2000,7276775.56,0.0089365817955776,0.00526230738756021,0.0100012358043146,-0.00106465400873701,4.7452995788151
"Kasempa",2808,2001,262971.25,0.0106779733526003,0.0089365817955776,0.0100012358043146,0.000676737548285723,27.6713730493352
"Kasempa",673,2002,116213.67,0.00579105711057916,0.0106779733526003,0.0100012358043146,-0.00421017869373545,2.2628254490199
"Kasempa",1001.4,2003,2606196.87,0.000384238048754928,0.00579105711057916,0.0100012358043146,-0.00961699775555968,0.0445912859990504
"Kasempa",37566.8,2004,6560996.645,0.00572577643803993,0.000384238048754928,0.0100012358043146,-0.00427545936627468,0.397225758678924
"Kasempa",390,2005,595294,0.000655138469394954,0.00572577643803993,0.0100012358043146,-0.00934609733491965,11.0214392300275
"Kasempa",350081,2006,22373513.4,0.0156471178102944,0.000655138469394954,0.0100012358043146,0.00564588200597977,0.0266070862165081
"Kasempa",366325,2007,20177911.31,0.0181547532037398,0.0156471178102944,0.0100012358043146,0.00815351739942519,1.10881215881407
"Kasempa",390235.5,2008,25990042.432,0.0150148081143387,0.0181547532037398,0.0100012358043146,0.00501357231002406,0.776370849058566
