X,Y,id,Country,Province,Prov_code,District_n,Dist_iaa,Pcode_CSO,Dist_code,HASC_code,ID_statoid,Pop2010,Male10,Female10,Source,Shape_Leng,Shape_Area,ISO3V10,shape_le_1,ID_1,Unsdcode,Countryeng,Shape_Le_2,shape_ar_1
2879122.89478784,-1931761.53783013,10,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2880216.55373774,-1948452.87109319,11,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2883616.12587502,-1945597.58636038,12,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2863880.68261757,-1944587.26108401,13,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2883606.33826931,-1946248.17380996,14,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2878909.12708815,-1932969.80434376,15,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2878555.96900494,-1936768.57951932,16,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2874820.68858468,-1950173.84597467,17,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2888715.03246774,-1937196.47847663,18,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2861427.12489332,-1947140.47712833,19,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
