"date","mkt_name","price","SAFEX","SAFEX_adj","year","month","date_num","mktyear","frapurchmt","frasalesmt","NETPURCH","BPP","SPP","LUSAKA","CHOMA","MCHINJI","mktshare","msleftpc","aprodpc","exportban","mznetimports","yearmon","travel_hours","distance_km","area_harvested","production","stock_begin","stock_end","supply","consumption","feed","FSI","cropyear","day1rain","maxdays","raincytot","tmean","gdd","heatday","mean_price","cv_price","purchase_quantity","annual_purchase","annual_sales","annual_import","month_share_buy","month_share_sale","mill_dist","count_miller","miller","weighted_fra_sales","frasales_miller","prod_percent","dev_share","long_run_share","pred_national_prod","pred_dev_prod","year_c","nation_avg","dev_price_square","logpurchase"
"2003-01-01","Chingola",1000,820.118286132812,820.118286132812,2003,1,516,2002,9298.55,0,9298.5498046875,-313.867553710938,-408.888916015625,1388.88891601562,1113.86755371094,1105.07666015625,9.06374549865723,11.800745010376,85.7412033081055,1,18353.694,"Jan 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.0111563570672315,0.188095457564663,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,70470.0623830838,0
"2003-02-01","Chingola",1111.1,650.479675292969,651.194139173715,2003,2,517,2002,789.9,0,789.900024414062,-290.712036132812,-116.4912109375,1096.4912109375,1090.71203613281,1168.15295410156,15.5456771850586,10.9595890045166,85.7412033081055,1,27458.227,"Feb 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.00102618790908165,0.243890536556651,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,141798.924153917,0
"2003-03-01","Chingola",888.9,575.011535644531,572.290660888119,2003,3,518,2002,223.2,0,223.199996948242,-63.8434448242188,-160.350830078125,1140.35083007812,863.843444824219,1157.48266601562,16.0963077545166,10.8881340026855,85.7412033081055,1,22255.716,"Mar 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.000200906659808482,0.244740732616785,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,23827.6206122504,0
"2003-04-01","Chingola",666.7,530.881469726562,527.154181815424,2003,4,519,2002,221.05,0,221.050003051758,-18.7702026367188,-84.98046875,1064.98046875,818.770202636719,839.183471679688,16.2518997192383,10.8679428100586,85.7412033081055,1,24451.098,"Apr 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.000196985660459814,0.0241549095344685,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,4601.99707058376,0
"2003-05-01","Chingola",555.6,585.229309082031,581.120448152851,2003,5,520,2003,0,14366.7,-14366.7001953125,122.334350585938,580.877197265625,649.122802734375,477.665649414062,591.293273925781,0,23.0802211761475,120.80770111084,1,19846.205,"May 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0,0.0400225850449162,0,2,1,563.4,14366.7,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,32018.8152997504,0
"2003-06-01","Chingola",472.2,575.993835449219,572.990229513248,2003,6,521,2003,0,0,0,140.935668945312,703.684204101562,526.315795898438,459.064331054688,445.228454589844,0,23.0802211761475,120.80770111084,1,6005.141,"Jun 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.0212692827396094,0.00126235495194455,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,68821.2371747505,0
"2003-07-01","Chingola",472.2,559.537780761719,559.469577742591,2003,7,522,2003,3022.3,0,3022.30004882812,134.722229003906,721.22802734375,508.771942138672,465.277770996094,469.985900878906,0,23.0802211761475,120.80770111084,1,1086.145,"Jul 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.190250408385449,6.75359899290332e-05,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,68821.2371747505,0
"2003-08-01","Chingola",666.7,578.267883300781,576.931579543118,2003,8,523,2003,9977.55,0,9977.5498046875,83.9181518554688,645.204650878906,584.795349121094,516.081848144531,483.330078125,1.15848004817963,22.8128395080566,120.80770111084,0,-54.305,"Aug 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.357983052193224,0,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,4601.99707058376,0
"2003-09-01","Chingola",750,614.075927734375,616.858294821567,2003,9,524,2003,10632.7666655,0,10632.7666015625,90.4970703125,607.192993164062,622.807006835938,509.5029296875,496.899932861328,4.98298168182373,21.9301376342773,120.80770111084,0,-658.547,"Sep 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.297815421152758,0.00190615597743626,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,239.072799750434,0
"2003-10-01","Chingola",777.8,641.178588867188,649.091443234691,2003,10,525,2003,17008.633333,0,17008.6328125,181.140350341797,486.578918457031,743.421081542969,418.859649658203,494.774353027344,9.05863571166992,20.9894676208496,120.80770111084,0,-328.832,"Oct 2003",6.68527777777778,411.405,630,1213,86,102,1302,1050,50,1000,"2002",27,40,845.7317407092,26.19874402185,203,10,724.55,196.579715498458,0,13002.25,21368.65,141314.725,0.0576375170957799,0.00514763102303947,0,2,1,0,0,2.2628254490199,-0.00133208788796736,0.00692523368570355,2744807.26966114,-3656.32451872036,"2003",734.538020833333,1871.5988414171,0
