"date","mkt_name","price","SAFEX","SAFEX_adj","year","month","date_num","mktyear","frapurchmt","frasalesmt","NETPURCH","BPP","SPP","LUSAKA","CHOMA","MCHINJI","mktshare","msleftpc","aprodpc","exportban","mznetimports","yearmon","travel_hours","distance_km","area_harvested","production","stock_begin","stock_end","supply","consumption","feed","FSI","cropyear","day1rain","maxdays","raincytot","tmean","gdd","heatday","mean_price","cv_price","purchase_quantity","annual_purchase","annual_sales","annual_import","month_share_buy","month_share_sale","mill_dist","count_miller","miller","weighted_fra_sales","frasales_miller","prod_percent","dev_share","long_run_share","pred_national_prod","pred_dev_prod","year_c","nation_avg","dev_price_square","logpurchase"
"2006-01-01","Luanshya",676.056358381503,604.907531738281,592.342901142471,2006,1,552,2005,1454.65,19867.55,-18412.900390625,-201.052612304688,-15.4691162109375,866.228088378906,921.052612304688,883.366394042969,50.9603652954102,6.27967023849487,67.6610717773438,1,25169.29265,"Jan 2006",5.20388888888889,319.051,585,1366,158,179,1529,1250,50,1200,"2005",36,26,976.518553096739,24.3530206173463,213,0,582.639992774566,208.427512261865,0,77211.95,88034.94,-1295.38426,0.0111563570672315,0.188095457564663,0,2,1,779.119607843137,19867.55,11.0214392300275,0.00166630375831857,0.00740484427945772,15055285.9882176,25086.6796247278,"2006",771.201267837789,9052.55379544483,0
"2006-02-01","Luanshya",949.71387283237,535.971435546875,524.150415552348,2006,2,553,2005,0,29646.68,-29646.6796875,-260.26318359375,-195.796081542969,872.319702148438,980.26318359375,609.970275878906,51.9204444885254,6.15672969818115,67.6610717773438,1,29479.3493,"Feb 2006",5.20388888888889,319.051,585,1366,158,179,1529,1250,50,1200,"2005",36,26,976.518553096739,24.3530206173463,213,0,582.639992774566,208.427512261865,0,77211.95,88034.94,-1295.38426,0.00102618790908165,0.243890536556651,0,2,1,1162.61490196078,29646.68,11.0214392300275,0.00166630375831857,0.00740484427945772,15055285.9882176,25086.6796247278,"2006",771.201267837789,31866.7501419514,0
"2006-03-01","Luanshya",949.71387283237,596.674621582031,581.780806014151,2006,3,554,2005,0,24157.61,-24157.609375,-136.725158691406,-186.412292480469,877.192993164062,856.725158691406,1218.54931640625,51.9204444885254,6.15672969818115,67.6610717773438,1,27504.963,"Mar 2006",5.20388888888889,319.051,585,1366,158,179,1529,1250,50,1200,"2005",36,26,976.518553096739,24.3530206173463,213,0,582.639992774566,208.427512261865,0,77211.95,88034.94,-1295.38426,0.000200906659808482,0.244740732616785,0,2,1,947.357254901961,24157.61,11.0214392300275,0.00166630375831857,0.00740484427945772,15055285.9882176,25086.6796247278,"2006",771.201267837789,31866.7501419514,0
"2006-04-01","Luanshya",763.177023121387,582.69775390625,566.805368826362,2006,4,555,2005,0,8807,-8807,193.684204101562,-109.787414550781,804.093566894531,526.315795898438,469.293334960938,51.9204444885254,6.15672969818115,67.6610717773438,1,15212.58215,"Apr 2006",5.20388888888889,319.051,585,1366,158,179,1529,1250,50,1200,"2005",36,26,976.518553096739,24.3530206173463,213,0,582.639992774566,208.427512261865,0,77211.95,88034.94,-1295.38426,0.000196985660459814,0.0241549095344685,0,2,1,345.372549019608,8807,11.0214392300275,0.00166630375831857,0.00740484427945772,15055285.9882176,25086.6796247278,"2006",771.201267837789,64.3885032687017,0
"2007-01-01","Luanshya",462.009138381201,914.720092773438,851.60014995809,2007,1,564,2006,0,3630.05,-3630.05004882812,233.684204101562,152.353759765625,739.183776855469,526.315795898438,686.115417480469,85.6674118041992,5.37785720825195,114.56950378418,1,-7571.2275,"Jan 2007",5.20388888888889,319.051,540,1212,179,201,1451,1250,50,1200,"2006",42,12,1085.8587535203,24.0867024746747,213,0,453.990208877285,60.3527925835521,0,390964.15,60313.98,82172.96444,0.0111563570672315,0.188095457564663,0,2,1,142.354901960784,3630.05,0.0266070862165081,0.000819869770147025,0.00740484427945772,32247.7884944078,26.43898694066,"2007",482.699415082409,428.087549972537,0
"2007-02-01","Luanshya",462.009138381201,1059.98315429688,988.072933556228,2007,2,565,2006,0,2908.5,-2908.5,198.596496582031,225.788452148438,720.469055175781,561.403503417969,690.138732910156,85.6674118041992,5.37785720825195,114.56950378418,1,-8381.565,"Feb 2007",5.20388888888889,319.051,540,1212,179,201,1451,1250,50,1200,"2006",42,12,1085.8587535203,24.0867024746747,213,0,453.990208877285,60.3527925835521,0,390964.15,60313.98,82172.96444,0.00102618790908165,0.243890536556651,0,2,1,114.058823529412,2908.5,0.0266070862165081,0.000819869770147025,0.00740484427945772,32247.7884944078,26.43898694066,"2007",482.699415082409,428.087549972537,0
"2007-03-01","Luanshya",462.009138381201,1279.7578125,1184.72557682553,2007,3,566,2006,0,2522.5,-2522.5,191.179260253906,277.886108398438,667.447204589844,568.820739746094,626.944091796875,85.6674118041992,5.37785720825195,114.56950378418,0,-43618.59684,"Mar 2007",5.20388888888889,319.051,540,1212,179,201,1451,1250,50,1200,"2006",42,12,1085.8587535203,24.0867024746747,213,0,453.990208877285,60.3527925835521,0,390964.15,60313.98,82172.96444,0.000200906659808482,0.244740732616785,0,2,1,98.921568627451,2522.5,0.0266070862165081,0.000819869770147025,0.00740484427945772,32247.7884944078,26.43898694066,"2007",482.699415082409,428.087549972537,0
"2007-04-01","Luanshya",462.009138381201,1118.20556640625,1026.4816764622,2007,4,567,2006,0,535.15,-535.150024414062,288.508758544922,348.888916015625,611.111083984375,471.491241455078,540.413024902344,85.6674118041992,5.37785720825195,114.56950378418,1,-33652.29312,"Apr 2007",5.20388888888889,319.051,540,1212,179,201,1451,1250,50,1200,"2006",42,12,1085.8587535203,24.0867024746747,213,0,453.990208877285,60.3527925835521,0,390964.15,60313.98,82172.96444,0.000196985660459814,0.0241549095344685,0,2,1,20.9862745098039,535.15,0.0266070862165081,0.000819869770147025,0.00740484427945772,32247.7884944078,26.43898694066,"2007",482.699415082409,428.087549972537,0
"2008-01-01","Luanshya",469.743902439024,1122.27734375,964.993820904208,2008,1,576,2007,0,35687.96,-35687.9609375,70.3448486328125,168.421081542969,631.578918457031,689.655151367188,704.042358398438,74.2927551269531,11.0487861633301,157.916137695312,1,-31332.969,"Jan 2008",5.20388888888889,319.051,912,1889,201,295,2095,1700,100,1600,"2007",24,18,887.834643464093,23.5749509404976,214,0,592.059281842818,110.431705345121,0,396450.05,167940.29,-161649.48868,0.0111563570672315,0.188095457564663,0,2,1,1399.52784313725,35687.96,1.10881215881407,0.00163422310456876,0.00740484427945772,2094546.16799978,3422.9557413312,"2008",563.777978912602,8842.40753823866,0
"2008-02-01","Luanshya",469.743902439024,995.168212890625,851.45548793362,2008,2,577,2007,0,61446.68,-61446.6796875,-187.897766113281,-47.4576416015625,847.457641601562,947.897766113281,779.683471679688,74.2927551269531,11.0487861633301,157.916137695312,1,-38128.64558,"Feb 2008",5.20388888888889,319.051,912,1889,201,295,2095,1700,100,1600,"2007",24,18,887.834643464093,23.5749509404976,214,0,592.059281842818,110.431705345121,0,396450.05,167940.29,-161649.48868,0.00102618790908165,0.243890536556651,0,2,1,2409.6737254902,61446.68,1.10881215881407,0.00163422310456876,0.00740484427945772,2094546.16799978,3422.9557413312,"2008",563.777978912602,8842.40753823866,0
