"REGION","PROVINCE","distname","year","purchase_quantity","month1","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12"
"SOUTHEAST","LUSAKA","Kafue","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","ItezhiTezhi","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Senanga","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Mazabuka","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Sesheke","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Namwala","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Monze","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Shangombo","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Siavonga","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Kazungula","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Choma","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Kalomo","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Gwembe","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Sinazongwe","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Livingstone","fra0203",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Kaputa","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mpulungu","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Chienge","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mbala","fra0304",2091.15,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Nchelenge","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Nakonde","fra0304",563.5,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Kawambwa","fra0304",1669.2,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mporokoso","fra0304",619.55,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mungwi","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Isoka","fra0304",1870,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Chinsali","fra0304",536.8,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Kasama","fra0304",1140.05,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Mwense","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Luwingu","fra0304",350,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chama","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Chilubi","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Samfya","fra0304",361.85,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Mansa","fra0304",530.8,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Mwinilunga","fra0304",969.35,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mpika","fra0304",1653.7,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Milenge","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Solwezi","fra0304",639.3,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Lundazi","fra0304",3400,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Serenje","fra0304",1324.75,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Chililabombwe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Chingola","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Lufwanyama","fra0304",392.05,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Mufulira","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Kabompo","fra0304",81.65,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Kalulushi","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Kitwe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Ndola_urban","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Kasempa","fra0304",1116.6,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Mufumbwe","fra0304",293.25,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Luanshya","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Mambwe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Masaiti","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Zambezi","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Chavuma","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chipata","fra0304",2367,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Mpongwe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Mkushi","fra0304",1625.7,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Petauke","fra0304",4291.45,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Kapiri_Mposhi","fra0304",795.95,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Lukulu","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Katete","fra0304",2933.45,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chadiza","fra0304",2266.5,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Nyimba","fra0304",913.85,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Kaoma","fra0304",498.45,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Kalabo","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Mumbwa","fra0304",1403.55,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Kabwe_urban","fra0304",1531.95,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Chibombo","fra0304",2298.85,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Mongu","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Chongwe","fra0304",2381.5,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Luangwa","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Lusaka_urban","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Kafue","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","ItezhiTezhi","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Senanga","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Mazabuka","fra0304",1514.6,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Sesheke","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Namwala","fra0304",1231.2,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Monze","fra0304",3483,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Shangombo","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Siavonga","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Kazungula","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Choma","fra0304",1968.55,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Kalomo","fra0304",3737.65,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Gwembe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Sinazongwe","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Livingstone","fra0304",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Kaputa","fra0405",227.4,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mpulungu","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Chienge","fra0405",135.4,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mbala","fra0405",3140,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Nchelenge","fra0405",138.85,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Nakonde","fra0405",1197,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Kawambwa","fra0405",2065.35,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mporokoso","fra0405",807.45,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mungwi","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Isoka","fra0405",3298.3,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Chinsali","fra0405",1179.05,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Kasama","fra0405",2011.1,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Mwense","fra0405",100,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Luwingu","fra0405",1299.95,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chama","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Chilubi","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Samfya","fra0405",910.45,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Mansa","fra0405",1974,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Mwinilunga","fra0405",1354.4,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","NORTHERN","Mpika","fra0405",3241.15,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","LUAPULA","Milenge","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Solwezi","fra0405",1744,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Lundazi","fra0405",4783.75,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Serenje","fra0405",4004.95,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Chililabombwe","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Chingola","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Lufwanyama","fra0405",1023.8,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Mufulira","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Kabompo","fra0405",694.95,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Kalulushi","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Kitwe","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Ndola_urban","fra0405",548.2,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Kasempa","fra0405",1940.45,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Mufumbwe","fra0405",668.45,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Luanshya","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Mambwe","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Masaiti","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Zambezi","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","NORTH WESTERN","Chavuma","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chipata","fra0405",3886.85,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHWEST","COPPERBELT","Mpongwe","fra0405",1840.15,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Mkushi","fra0405",3869.6,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Petauke","fra0405",7376.6,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Kapiri_Mposhi","fra0405",2408.9,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Lukulu","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Katete","fra0405",4254,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Chadiza","fra0405",2448.15,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","EASTERN","Nyimba","fra0405",2245,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Kaoma","fra0405",900,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Kalabo","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Mumbwa","fra0405",3267.9,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Kabwe_urban","fra0405",2858.9,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHCENTR","CENTRAL","Chibombo","fra0405",3401.8,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Mongu","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Chongwe","fra0405",3830.9,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Luangwa","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Lusaka_urban","fra0405",156,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHEAST","LUSAKA","Kafue","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","ItezhiTezhi","fra0405",63.95,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Senanga","fra0405",0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Mazabuka","fra0405",3646,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","WESTERN","Sesheke","fra0405",269,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHWEST","SOUTHERN","Namwala","fra0405",2286.95,0,0,0,0,0,0,0,0,0,0,0,0
