date,value
7/4/2017,0.6938
7/3/2017,0.7014
6/30/2017,0.6975
6/29/2017,0.7169
6/28/2017,0.7168
6/27/2017,0.7183
6/26/2017,0.7145
6/23/2017,0.7194
6/22/2017,0.7119
6/21/2017,0.7039
6/20/2017,0.7099
6/19/2017,0.7169
6/15/2017,0.7265
6/14/2017,0.7272
6/13/2017,0.7171
6/12/2017,0.7129
6/9/2017,0.7153
6/8/2017,0.7216
6/7/2017,0.7258
6/6/2017,0.7292
6/5/2017,0.7358
6/2/2017,0.7186
6/1/2017,0.7098
5/31/2017,0.706
5/30/2017,0.7087
5/29/2017,0.7145
5/26/2017,0.7166
5/25/2017,0.7238
5/24/2017,0.7171
5/23/2017,0.7005
5/22/2017,0.7056
5/19/2017,0.6943
5/18/2017,0.6928
5/17/2017,0.6979
5/16/2017,0.7014
5/15/2017,0.6926
5/12/2017,0.688
5/11/2017,0.6866
5/10/2017,0.6691
5/9/2017,0.6732
5/8/2017,0.6861
5/5/2017,0.6789
5/4/2017,0.6858
5/3/2017,0.6981
5/2/2017,0.7013
4/28/2017,0.7045
4/26/2017,0.7103
4/25/2017,0.714
4/24/2017,0.7322
4/21/2017,0.7078
4/20/2017,0.71
4/19/2017,0.7018
4/18/2017,0.7054
4/13/2017,0.6983
4/12/2017,0.6868
4/11/2017,0.6827
4/10/2017,0.6849
4/7/2017,0.6918
4/6/2017,0.6875
4/5/2017,0.6996
4/4/2017,0.6978
4/3/2017,0.7126
3/31/2017,0.7181
3/30/2017,0.7391
3/29/2017,0.7308
3/28/2017,0.7435
3/27/2017,0.7708
3/24/2017,0.7638
3/23/2017,0.7587
3/22/2017,0.7557
3/20/2017,0.7606
3/17/2017,0.7484
3/16/2017,0.7461
3/15/2017,0.7319
3/14/2017,0.7275
3/13/2017,0.7334
3/10/2017,0.7215
3/9/2017,0.7263
3/8/2017,0.7468
3/7/2017,0.7523
3/6/2017,0.7556
3/3/2017,0.7409
3/2/2017,0.7398
3/1/2017,0.7302
2/28/2017,0.7281
2/27/2017,0.7339
2/24/2017,0.7396
2/23/2017,0.7409
2/22/2017,0.7436
2/21/2017,0.7432
2/20/2017,0.7437
2/17/2017,0.7492
2/16/2017,0.7539
2/15/2017,0.7519
2/14/2017,0.7464
2/13/2017,0.7445
2/10/2017,0.734
2/9/2017,0.7287
2/8/2017,0.7318
2/7/2017,0.7376
2/6/2017,0.7459
2/3/2017,0.7387
2/2/2017,0.7397
2/1/2017,0.7357
1/31/2017,0.7395
1/30/2017,0.7243
1/27/2017,0.7276
1/26/2017,0.7432
1/25/2017,0.7324
1/24/2017,0.7323
1/23/2017,0.7279
1/20/2017,0.7315
1/19/2017,0.7308
1/18/2017,0.7284
1/17/2017,0.7354
1/16/2017,0.7285
1/13/2017,0.7424
1/12/2017,0.7399
1/11/2017,0.7385
1/10/2017,0.7446
1/9/2017,0.7287
1/6/2017,0.7307
1/5/2017,0.7329
1/4/2017,0.721
1/3/2017,0.7231
12/30/2016,0.7283
12/29/2016,0.7152
12/28/2016,0.708
12/23/2016,0.7007
