"DIST","prod","year"
"Kaoma",1683,2002
"Kapiri Mposhi",6394,2002
"Kaputa",653.5,2002
"Kasama",1651.7,2002
"Kasempa",673,2002
"Katete",4012.5,2002
"Kawambwa",505.5,2002
"Kazungula",607,2002
"Kitwe",520,2002
"Livingstone",54,2002
"Luangwa",374,2002
"Luanshya",422,2002
"Lufwanyama",5701,2002
"Lukulu",97,2002
"Lundazi",4761,2002
"Luwingu",304,2002
"Mambwe",1276.2,2002
"Mansa",410,2002
"Masaiti",1683,2002
"Mazabuka",1913,2002
"Mbala",2683,2002
"Milenge",291,2002
"Mkushi",7014,2002
"Mongu",1497,2002
"Monze",2127.5,2002
"Mpika",1978,2002
"Mpongwe",3969,2002
"Mporokoso",1128.5,2002
"Mpulungu",228,2002
"Mufulira",455,2002
"Mufumbwe",455,2002
"Mumbwa",6834.5,2002
"Mungwi",837,2002
"Mwense",188.5,2002
"Mwinilunga",601,2002
"Nakonde",481,2002
"Namwala",2702,2002
"Nchelenge",429.1,2002
"Nyimba",583.12,2002
"Petauke",7226.8,2002
"Samfya",662,2002
"Senanga",301,2002
"Serenje",1858,2002
"Sesheke",885.25,2002
"Shangombo",625.5,2002
"Siavonga",147,2002
"Sinazongwe",194,2002
"Solwezi",2407,2002
"Zambezi",199,2002
"210",1775,2003
"504",712,2003
"Chadiza",7793.1,2003
"Chama",515,2003
"Chavuma",301,2003
"Chibombo",872076.8,2003
"Chienge",435,2003
"Chililabombwe",1774,2003
"Chilubi",635,2003
"Chingola",1111,2003
"Chinsali",544,2003
"Chipata",7739.25,2003
"Choma",5291,2003
"Chongwe",10631,2003
"Gwembe",675.5,2003
"Isoka",1671,2003
"Itezhi_tezhi",1377,2003
"Kabompo",921,2003
"Kabwe Urban",46397,2003
"Kafue",4614,2003
"Kalabo",615,2003
"Kalomo",6907.5,2003
"Kalulushi",1238,2003
"Kaoma",3289,2003
"Kapiri mposhi",576019,2003
"Kaputa",738.4,2003
"Kasama",11030,2003
"Kasempa",1001.4,2003
"Katete",5182,2003
"Kawambwa",826.5,2003
"Kazungula",1719,2003
"Kitwe",1060,2003
"Livingstone",268,2003
"Luangwa",484,2003
"Luanshya",1458,2003
"Lufwanyama",8311.8,2003
"Lukulu",471,2003
"Lundazi",5457.25,2003
"Luwingu",601,2003
"Mambwe",1734,2003
