DATE,cpi_rsa
1/1/2003,73.50112264
2/1/2003,73.42048018
3/1/2003,73.8505733
4/1/2003,74.0208185
5/1/2003,74.0208185
6/1/2003,73.88641439
7/1/2003,73.51008291
8/1/2003,73.67136783
9/1/2003,73.16959252
10/1/2003,72.6050953
11/1/2003,71.78075015
12/1/2003,71.71802823
1/1/2004,72.0316378
2/1/2004,72.25564464
3/1/2004,72.59613503
4/1/2004,72.67677749
5/1/2004,72.68573776
6/1/2004,72.74845967
7/1/2004,72.89182405
8/1/2004,72.74845967
9/1/2004,72.76638022
10/1/2004,72.97246651
11/1/2004,73.40255963
12/1/2004,73.29503635
1/1/2005,73.51904319
2/1/2005,73.55488428
3/1/2005,74.00289795
4/1/2005,74.22690478
5/1/2005,74.04769932
6/1/2005,73.89537467
7/1/2005,74.44195135
8/1/2005,74.56739517
9/1/2005,74.63011709
10/1/2005,74.71971982
11/1/2005,74.70179927
12/1/2005,74.77348146
1/1/2006,75.06021021
2/1/2006,75.15877322
3/1/2006,75.38278005
4/1/2006,75.56198552
5/1/2006,75.84871427
6/1/2006,76.40425122
7/1/2006,76.93290735
8/1/2006,77.46156348
9/1/2006,77.65868949
10/1/2006,78.07086207
11/1/2006,78.07086207
12/1/2006,78.37551136
1/1/2007,78.94896886
2/1/2007,78.85040585
3/1/2007,79.39698253
4/1/2007,80.06900304
5/1/2007,80.43637424
6/1/2007,81.00983174
7/1/2007,81.70873307
8/1/2007,82.22842892
9/1/2007,82.69436314
10/1/2007,83.45598638
11/1/2007,83.71583431
12/1/2007,84.30721235
1/1/2008,85.48100816
2/1/2008,85.90699326
3/1/2008,87.0429535
4/1/2008,87.61093362
5/1/2008,88.32090877
6/1/2008,89.59886404
7/1/2008,90.87681931
8/1/2008,91.44479943
9/1/2008,92.01277955
10/1/2008,92.29676961
11/1/2008,92.29676961
12/1/2008,92.15477458
1/1/2009,92.7227547
2/1/2009,93.57472488
3/1/2009,94.99467519
4/1/2009,95.42066028
5/1/2009,95.70465034
6/1/2009,95.9886404
7/1/2009,96.98260561
8/1/2009,97.26659567
9/1/2009,97.55058573
10/1/2009,97.55058573
11/1/2009,97.55058573
12/1/2009,97.83457579
1/1/2010,98.11856585
2/1/2010,98.68654597
3/1/2010,99.53851615
4/1/2010,99.53851615
5/1/2010,99.82250621
6/1/2010,99.82250621
7/1/2010,100.3904863
8/1/2010,100.5324814
9/1/2010,100.6744764
10/1/2010,100.8164714
11/1/2010,100.9584665
12/1/2010,101.1004615
1/1/2011,101.6684416
2/1/2011,102.2364217
3/1/2011,103.514377
4/1/2011,103.7983671
5/1/2011,104.3663472
6/1/2011,104.9343273
7/1/2011,105.7862975
8/1/2011,105.7862975
9/1/2011,106.3542776
10/1/2011,107.0642528
11/1/2011,107.2062478
12/1/2011,107.4902378
1/1/2012,108.058218
2/1/2012,108.6261981
3/1/2012,109.7621583
4/1/2012,110.3301384
5/1/2012,110.3301384
6/1/2012,110.7561235
7/1/2012,110.8981186
8/1/2012,111.3241037
9/1/2012,112.1760738
10/1/2012,113.028044
11/1/2012,113.3120341
12/1/2012,113.7380192
1/1/2013,114.0220092
2/1/2013,115.0159744
3/1/2013,116.4359247
4/1/2013,116.7199148
5/1/2013,116.4359247
6/1/2013,116.8619098
7/1/2013,117.9978701
8/1/2013,118.4238552
9/1/2013,118.9918353
10/1/2013,119.2758253
11/1/2013,119.4178204
12/1/2013,119.7018104
1/1/2014,120.5537806
2/1/2014,121.8317359
3/1/2014,123.3936812
4/1/2014,123.9616613
5/1/2014,124.3876464
6/1/2014,124.8136315
7/1/2014,125.8075967
8/1/2014,126.0915868
9/1/2014,126.0915868
10/1/2014,126.3755769
11/1/2014,126.3755769
12/1/2014,126.0915868
1/1/2015,125.9495918
2/1/2015,126.8015619
3/1/2015,128.3635073
4/1/2015,129.6414625
5/1/2015,129.7834576
6/1/2015,130.4934327
7/1/2015,131.629393
8/1/2015,131.771388
9/1/2015,131.771388
10/1/2015,132.0553781
11/1/2015,132.3393681
12/1/2015,132.6233582
1/1/2016,133.7593184
2/1/2016,135.6052538
3/1/2016,136.7412141
4/1/2016,138.0191693
5/1/2016,138.3031594
6/1/2016,139.0131345
7/1/2016,140.1490948
8/1/2016,140.0070998
9/1/2016,140.2910898
10/1/2016,141.001065
11/1/2016,141.4270501
12/1/2016,141.9950302
1/1/2017,142.8470004
2/1/2017,144.4089457
3/1/2017,145.1189208
4/1/2017,145.2609159
5/1/2017,145.686901
6/1/2017,145.970891
7/1/2017,146.2548811
8/1/2017,146.3968761
9/1/2017,147.1068513
10/1/2017,147.5328364
11/1/2017,147.6748314
12/1/2017,148.3848065
1/1/2018,148.9527867
2/1/2018,149.9467519
3/1/2018,150.514732
4/1/2018,151.5086972
5/1/2018,151.9346823
6/1/2018,152.3606674
